Site_ID,Latitude,Longitude,source_file,prefix
CRMS0002,30.10025,-89.79173,crms_stations_coords.csv,CRMS
CRMS0003,30.09937,-89.25275,crms_stations_coords.csv,CRMS
CRMS0006,30.25993,-89.97923,crms_stations_coords.csv,CRMS
CRMS0008,30.23072,-90.68443,crms_stations_coords.csv,CRMS
CRMS0030,30.30482,-90.32942,crms_stations_coords.csv,CRMS
CRMS0033,30.27445,-90.3855,crms_stations_coords.csv,CRMS
CRMS0034,30.30348,-90.3855,crms_stations_coords.csv,CRMS
CRMS0035,30.26712,-89.66476,crms_stations_coords.csv,CRMS
CRMS0038,30.21616,-90.6817,crms_stations_coords.csv,CRMS
CRMS0039,30.10738,-90.68731,crms_stations_coords.csv,CRMS
CRMS0046,30.40488,-90.49934,crms_stations_coords.csv,CRMS
CRMS0047,30.13298,-90.53371,crms_stations_coords.csv,CRMS
CRMS0056,30.12919,-90.44297,crms_stations_coords.csv,CRMS
CRMS0059,30.09295,-90.53906,crms_stations_coords.csv,CRMS
CRMS0061,30.22322,-90.63992,crms_stations_coords.csv,CRMS
CRMS0063,30.1321,-90.64094,crms_stations_coords.csv,CRMS
CRMS0065,30.12192,-90.811,crms_stations_coords.csv,CRMS
CRMS0086,30.31791,-89.63324,crms_stations_coords.csv,CRMS
CRMS0097,30.1582,-90.65826,crms_stations_coords.csv,CRMS
CRMS0103,30.3978,-90.25928,crms_stations_coords.csv,CRMS
CRMS0108,29.95506,-89.41592,crms_stations_coords.csv,CRMS
CRMS0114,29.75912,-89.91673,crms_stations_coords.csv,CRMS
CRMS0115,29.78089,-89.91673,crms_stations_coords.csv,CRMS
CRMS0117,29.80992,-89.91673,crms_stations_coords.csv,CRMS
CRMS0118,29.37444,-89.54172,crms_stations_coords.csv,CRMS
CRMS0119,29.47605,-89.63548,crms_stations_coords.csv,CRMS
CRMS0120,29.84622,-89.85423,crms_stations_coords.csv,CRMS
CRMS0121,29.69379,-89.82298,crms_stations_coords.csv,CRMS
CRMS0125,29.76637,-89.97923,crms_stations_coords.csv,CRMS
CRMS0128,29.8317,-89.94798,crms_stations_coords.csv,CRMS
CRMS0129,29.46879,-89.60422,crms_stations_coords.csv,CRMS
CRMS0131,29.69252,-89.88552,crms_stations_coords.csv,CRMS
CRMS0132,29.66476,-89.88548,crms_stations_coords.csv,CRMS
CRMS0135,29.68654,-89.76048,crms_stations_coords.csv,CRMS
CRMS0136,29.62122,-89.79173,crms_stations_coords.csv,CRMS
CRMS0139,29.3817,-89.47922,crms_stations_coords.csv,CRMS
CRMS0146,29.73008,-89.72923,crms_stations_coords.csv,CRMS
CRMS0147,29.66476,-89.60422,crms_stations_coords.csv,CRMS
CRMS0148,29.51235,-89.69798,crms_stations_coords.csv,CRMS
CRMS0153,29.11315,-89.13546,crms_stations_coords.csv,CRMS
CRMS0154,29.11315,-89.19796,crms_stations_coords.csv,CRMS
CRMS0156,29.16394,-89.16671,crms_stations_coords.csv,CRMS
CRMS0157,29.12766,-89.22921,crms_stations_coords.csv,CRMS
CRMS0159,29.04056,-89.19796,crms_stations_coords.csv,CRMS
CRMS0161,29.29459,-89.16671,crms_stations_coords.csv,CRMS
CRMS0162,29.16395,-89.13546,crms_stations_coords.csv,CRMS
CRMS0163,29.21476,-89.41672,crms_stations_coords.csv,CRMS
CRMS0164,29.19306,-90.16994,crms_stations_coords.csv,CRMS
CRMS0171,29.32377,-89.79605,crms_stations_coords.csv,CRMS
CRMS0172,29.31653,-89.73433,crms_stations_coords.csv,CRMS
CRMS0173,29.4543,-89.72993,crms_stations_coords.csv,CRMS
CRMS0174,29.3963,-89.76302,crms_stations_coords.csv,CRMS
CRMS0175,29.2874,-90.13792,crms_stations_coords.csv,CRMS
CRMS0176,29.41078,-89.79333,crms_stations_coords.csv,CRMS
CRMS0178,29.28748,-90.04698,crms_stations_coords.csv,CRMS
CRMS0179,29.39623,-89.69845,crms_stations_coords.csv,CRMS
CRMS0181,29.33823,-89.70033,crms_stations_coords.csv,CRMS
CRMS0185,29.79535,-90.07269,crms_stations_coords.csv,CRMS
CRMS0190,29.52686,-90.26049,crms_stations_coords.csv,CRMS
CRMS0194,29.99133,-90.94014,crms_stations_coords.csv,CRMS
CRMS0197,29.91151,-90.94179,crms_stations_coords.csv,CRMS
CRMS0200,29.96965,-90.97757,crms_stations_coords.csv,CRMS
CRMS0206,29.83895,-90.66574,crms_stations_coords.csv,CRMS
CRMS0209,29.49057,-89.79173,crms_stations_coords.csv,CRMS
CRMS0217,29.91875,-90.87864,crms_stations_coords.csv,CRMS
CRMS0220,29.56315,-90.07299,crms_stations_coords.csv,CRMS
CRMS0224,29.49782,-89.91673,crms_stations_coords.csv,CRMS
CRMS0225,29.56315,-90.01048,crms_stations_coords.csv,CRMS
CRMS0226,29.51234,-89.88548,crms_stations_coords.csv,CRMS
CRMS0232,29.49783,-90.01048,crms_stations_coords.csv,CRMS
