"Site ID","Station_Type","Sample_Date","Sample Depth (cm)","Mean Bulk Density (g/cm3)","SE Bulk Density (g/cm3)",
"BA39-01","S","9/22/2010 12:00:00 AM","4","1.283333","0.03711842",
"BA39-01","S","9/22/2010 12:00:00 AM","8","1.34","0.1342882",
"BA39-01","S","9/22/2010 12:00:00 AM","12","1.473333","0.008819163",
"BA39-01","S","9/22/2010 12:00:00 AM","16","1.506667","0.0497773",
"BA39-01","S","9/22/2010 12:00:00 AM","20","1.573333","0.1299145",
"BA39-01","S","9/22/2010 12:00:00 AM","24","1.526667","0.03844186",
"BA39-01","S","9/29/2015 12:00:00 AM","4","0.3733333","0.1485859",
"BA39-01","S","9/29/2015 12:00:00 AM","8","1.22","0.1001665",
"BA39-01","S","9/29/2015 12:00:00 AM","12","1.506667","0.02333331",
"BA39-01","S","9/29/2015 12:00:00 AM","16","1.623333","0.03333334",
"BA39-01","S","9/29/2015 12:00:00 AM","20","1.57","0.01527528",
"BA39-01","S","9/29/2015 12:00:00 AM","24","1.596667","0.03480102",
"BA39-01","S","7/1/2021 12:00:00 AM","4","0.07","0.005773502",
"BA39-01","S","7/1/2021 12:00:00 AM","8","0.73","0.1078579",
"BA39-01","S","7/1/2021 12:00:00 AM","12","1.293333","0.07310572",
"BA39-01","S","7/1/2021 12:00:00 AM","16","1.26","0.102632",
"BA39-01","S","7/1/2021 12:00:00 AM","20","1.146667","0.2051287",
"BA39-01","S","7/1/2021 12:00:00 AM","24","1.416667","0.1168094",
"BA39-02","S","9/22/2010 12:00:00 AM","4","0.9233333","0.1707174",
"BA39-02","S","9/22/2010 12:00:00 AM","8","1.186667","0.1449521",
"BA39-02","S","9/22/2010 12:00:00 AM","12","1.21","0.1975686",
"BA39-02","S","9/22/2010 12:00:00 AM","16","1.116667","0.283686",
"BA39-02","S","9/22/2010 12:00:00 AM","20","1.056667","0.2915666",
"BA39-02","S","9/22/2010 12:00:00 AM","24","1.12","0.2702468",
"BA39-02","S","9/29/2015 12:00:00 AM","4","0.2966667","0.008819172",
"BA39-02","S","9/29/2015 12:00:00 AM","8","0.6533333","0.1433333",
"BA39-02","S","9/29/2015 12:00:00 AM","12","1.503333","0.03844188",
"BA39-02","S","9/29/2015 12:00:00 AM","16","1.526667","0.03179798",
"BA39-02","S","9/29/2015 12:00:00 AM","20","1.573333","0.05607533",
"BA39-02","S","9/29/2015 12:00:00 AM","24","1.71","0.09848856",
"BA39-02","S","6/30/2021 12:00:00 AM","4","0.1733333","0.02403701",
"BA39-02","S","6/30/2021 12:00:00 AM","8","0.2966667","0.05897269",
"BA39-02","S","6/30/2021 12:00:00 AM","12","0.9733334","0.3450765",
"BA39-02","S","6/30/2021 12:00:00 AM","16","1.32","0.1646208",
"BA39-02","S","6/30/2021 12:00:00 AM","20","1.513333","0.2034972",
"BA39-02","S","6/30/2021 12:00:00 AM","24","1.543333","0.06173418",
"BA39-03","S","9/21/2010 12:00:00 AM","4","1.34","0.09865766",
"BA39-03","S","9/21/2010 12:00:00 AM","8","1.13","0.1517674",
"BA39-03","S","9/21/2010 12:00:00 AM","12","1.253333","0.03527669",
"BA39-03","S","9/21/2010 12:00:00 AM","16","1.223333","0.1490339",
"BA39-03","S","9/21/2010 12:00:00 AM","20","1.366667","0.1770436",
"BA39-03","S","9/21/2010 12:00:00 AM","24","1.32","0.06506405",
"BA39-03","S","9/30/2015 12:00:00 AM","4","0.2066667","0.05696002",
"BA39-03","S","9/30/2015 12:00:00 AM","8","0.47","0.2455606",
"BA39-03","S","9/30/2015 12:00:00 AM","12","1.13","0.06110102",
"BA39-03","S","9/30/2015 12:00:00 AM","16","1.193333","0.1332083",
"BA39-03","S","9/30/2015 12:00:00 AM","20","1.356667","0.1128913",
"BA39-03","S","9/30/2015 12:00:00 AM","24","1.406667","0.15857",
"CRMS0002","S","6/10/2008 12:00:00 AM","4","0.15","0.02645751",
"CRMS0002","S","6/10/2008 12:00:00 AM","8","0.3066667","0.05206833",
"CRMS0002","S","6/10/2008 12:00:00 AM","12","0.3266667","0.02905932",
"CRMS0002","S","6/10/2008 12:00:00 AM","16","0.29","0.005773506",
"CRMS0002","S","6/10/2008 12:00:00 AM","20","0.2333333","0.02728451",
"CRMS0002","S","6/10/2008 12:00:00 AM","24","0.23","0.02000001",
"CRMS0002","S","4/3/2018 12:00:00 AM","4","0.22","0.011547",
"CRMS0002","S","4/3/2018 12:00:00 AM","8","0.3066667","0.02603417",
"CRMS0002","S","4/3/2018 12:00:00 AM","12","0.2833333","0.02728451",
"CRMS0002","S","4/3/2018 12:00:00 AM","16","0.31","0.03511884",
"CRMS0002","S","4/3/2018 12:00:00 AM","20","0.22","0.05033223",
"CRMS0002","S","4/3/2018 12:00:00 AM","24","0.17","0.0450925",
"CRMS0003","S","6/12/2008 12:00:00 AM","4","0.7133334","0.03929942",
"CRMS0003","S","6/12/2008 12:00:00 AM","8","0.6566666","0.03527669",
"CRMS0003","S","6/12/2008 12:00:00 AM","12","0.55","0.05291503",
"CRMS0003","S","6/12/2008 12:00:00 AM","16","0.6333333","0.04371627",
"CRMS0003","S","6/12/2008 12:00:00 AM","20","0.5366666","0.03527668",
"CRMS0003","S","6/12/2008 12:00:00 AM","24","0.5466667","0.04910306",
"CRMS0003","SB","9/13/2017 12:00:00 AM","4","0.51","0.04041452",
"CRMS0003","SB","9/13/2017 12:00:00 AM","8","0.76","0.07371115",
"CRMS0003","SB","9/13/2017 12:00:00 AM","12","0.4766667","0.01666666",
"CRMS0003","SB","9/13/2017 12:00:00 AM","16","0.5066667","0.05456901",
"CRMS0003","SB","9/13/2017 12:00:00 AM","20","0.6466666","0.1649579",
"CRMS0003","SB","9/13/2017 12:00:00 AM","24","0.5733333","0.0622718",
"CRMS0006","S","6/20/2008 12:00:00 AM","4","0.2133333","0.07688376",
"CRMS0006","S","6/20/2008 12:00:00 AM","8","0.2733333","0.08452482",
"CRMS0006","S","6/20/2008 12:00:00 AM","12","0.2466667","0.08089773",
"CRMS0006","S","6/20/2008 12:00:00 AM","16","0.1733333","0.05607535",
"CRMS0006","S","6/20/2008 12:00:00 AM","20","0.17","0.05507571",
"CRMS0006","S","6/20/2008 12:00:00 AM","24","0.1566667","0.01201851",
"CRMS0006","S","4/17/2018 12:00:00 AM","4","0.12","0.02081666",
"CRMS0006","S","4/17/2018 12:00:00 AM","8","0.2266667","0.04255715",
"CRMS0006","S","4/17/2018 12:00:00 AM","12","0.2733333","0.03382964",
"CRMS0006","S","4/17/2018 12:00:00 AM","16","0.3566667","0.05364492",
"CRMS0006","S","4/17/2018 12:00:00 AM","20","0.3","0.1006645",
"CRMS0006","S","4/17/2018 12:00:00 AM","24","0.2466667","0.1219745",
"CRMS0008","S","10/10/2008 12:00:00 AM","4","0.05333333","0.008819171",
"CRMS0008","S","10/10/2008 12:00:00 AM","8","0.08333334","0.008819171",
"CRMS0008","S","10/10/2008 12:00:00 AM","12","0.09666667","0.003333333",
"CRMS0008","S","10/10/2008 12:00:00 AM","16","0.1033333","0.01855922",
"CRMS0008","S","10/10/2008 12:00:00 AM","20","0.14","0.01732051",
"CRMS0008","S","10/10/2008 12:00:00 AM","24","0.1866667","0.02666667",
"CRMS0008","S","5/13/2014 12:00:00 AM","16","0.2966667","0.1867559",
"CRMS0008","S","11/16/2021 12:00:00 AM","16","0.1133333","0.006666665",
"CRMS0030","S","5/9/2007 12:00:00 AM","4","0.16","0.02309401",
"CRMS0030","S","5/9/2007 12:00:00 AM","8","0.1966667","0.03179797",
"CRMS0030","S","5/9/2007 12:00:00 AM","12","0.2366667","0.04055175",
"CRMS0030","S","5/9/2007 12:00:00 AM","16","0.2533333","0.0617342",
"CRMS0030","S","5/9/2007 12:00:00 AM","20","0.1966667","0.02728451",
"CRMS0030","S","5/9/2007 12:00:00 AM","24","0.2333333","0.04409586",
"CRMS0030","SB","8/14/2017 12:00:00 AM","4","0.1333333","0.02185813",
"CRMS0030","SB","8/14/2017 12:00:00 AM","8","0.2633333","0.02185813",
"CRMS0030","SB","8/14/2017 12:00:00 AM","12","0.1966667","0.02185813",
"CRMS0030","SB","8/14/2017 12:00:00 AM","16","0.16","0.02516611",
"CRMS0030","SB","8/14/2017 12:00:00 AM","20","0.14","0.01527525",
"CRMS0030","SB","8/14/2017 12:00:00 AM","24","0.1266667","0.01452966",
"CRMS0030","S","2/28/2018 12:00:00 AM","4","0.1166667","0.02027588",
"CRMS0030","S","2/28/2018 12:00:00 AM","8","0.2233333","0.03666666",
"CRMS0030","S","2/28/2018 12:00:00 AM","12","0.19","0.03464102",
"CRMS0030","S","2/28/2018 12:00:00 AM","16","0.18","0.03785939",
"CRMS0030","S","2/28/2018 12:00:00 AM","20","0.2166667","0.0120185",
"CRMS0030","S","2/28/2018 12:00:00 AM","24","0.16","0.02",
"CRMS0033","S","5/10/2007 12:00:00 AM","4","0.09666666","0.02185813",
"CRMS0033","S","5/10/2007 12:00:00 AM","8","0.1133333","0.01452966",
"CRMS0033","S","5/10/2007 12:00:00 AM","12","0.1233333","0.02962732",
"CRMS0033","S","5/10/2007 12:00:00 AM","16","0.1033333","0.008819169",
"CRMS0033","S","5/10/2007 12:00:00 AM","20","0.1433333","0.0120185",
"CRMS0033","S","5/10/2007 12:00:00 AM","24","0.13","0.005773504",
"CRMS0033","SB","10/18/2017 12:00:00 AM","4","0.06333333","0.0120185",
"CRMS0033","SB","10/18/2017 12:00:00 AM","8","0.1333333","0.003333335",
"CRMS0033","SB","10/18/2017 12:00:00 AM","12","0.1466667","0.02728451",
"CRMS0033","SB","10/18/2017 12:00:00 AM","16","0.1133333","0.01763834",
"CRMS0033","SB","10/18/2017 12:00:00 AM","20","0.09666667","0.006666665",
"CRMS0033","SB","10/18/2017 12:00:00 AM","24","0.11","0.011547",
"CRMS0033","S","2/28/2018 12:00:00 AM","4","0.06666666","0.00881917",
"CRMS0033","S","2/28/2018 12:00:00 AM","8","0.1133333","0.02403701",
"CRMS0033","S","2/28/2018 12:00:00 AM","12","0.1333333","0.01452966",
"CRMS0033","S","2/28/2018 12:00:00 AM","16","0.08666667","0.003333335",
"CRMS0033","S","2/28/2018 12:00:00 AM","20","0.09333333","0.008819171",
"CRMS0033","S","2/28/2018 12:00:00 AM","24","0.09666666","0.01452966",
"CRMS0034","S","5/10/2007 12:00:00 AM","4","0.1233333","0.02603417",
"CRMS0034","S","5/10/2007 12:00:00 AM","8","0.1166667","0.006666665",
"CRMS0034","S","5/10/2007 12:00:00 AM","12","0.1266667","0.01201851",
"CRMS0034","S","5/10/2007 12:00:00 AM","16","0.1533333","0.02403701",
"CRMS0034","S","5/10/2007 12:00:00 AM","20","0.17","0.03511884",
"CRMS0034","S","5/10/2007 12:00:00 AM","24","0.1866667","0.006666665",
"CRMS0034","S","2/28/2018 12:00:00 AM","4","0.08","0.005773504",
"CRMS0034","S","2/28/2018 12:00:00 AM","8","0.12","0.02516612",
"CRMS0034","S","2/28/2018 12:00:00 AM","12","0.1166667","0.01333333",
"CRMS0034","S","2/28/2018 12:00:00 AM","16","0.12","0.01527525",
"CRMS0034","S","2/28/2018 12:00:00 AM","20","0.1166667","0.01763834",
"CRMS0034","S","2/28/2018 12:00:00 AM","24","0.1266667","0.006666668",
"CRMS0035","S","6/25/2008 12:00:00 AM","4","0.2033333","0.008819171",
"CRMS0035","S","6/25/2008 12:00:00 AM","8","0.29","0.04041452",
"CRMS0035","S","6/25/2008 12:00:00 AM","12","0.36","0.05567764",
"CRMS0035","S","6/25/2008 12:00:00 AM","16","0.4033333","0.03711842",
"CRMS0035","S","6/25/2008 12:00:00 AM","20","0.44","0.04041452",
"CRMS0035","S","6/25/2008 12:00:00 AM","24","0.4766667","0.01333334",
"CRMS0035","S","8/12/2014 12:00:00 AM","4","0.2566667","0.02962732",
"CRMS0035","S","8/12/2014 12:00:00 AM","8","0.3466667","0.04176655",
"CRMS0035","S","8/12/2014 12:00:00 AM","12","0.34","0.05686241",
"CRMS0035","S","8/12/2014 12:00:00 AM","16","0.38","0.0702377",
"CRMS0035","S","8/12/2014 12:00:00 AM","20","0.4166667","0.0731057",
"CRMS0035","S","8/12/2014 12:00:00 AM","24","0.3933333","0.02185813",
"CRMS0035","S","11/3/2021 12:00:00 AM","4","0.1866667","0.02905932",
"CRMS0035","S","11/3/2021 12:00:00 AM","8","0.2066667","0.01452966",
"CRMS0035","S","11/3/2021 12:00:00 AM","12","0.2733333","0.01666667",
"CRMS0035","S","11/3/2021 12:00:00 AM","16","0.28","0.02309401",
"CRMS0035","S","11/3/2021 12:00:00 AM","20","0.3166667","0.02333333",
"CRMS0035","S","11/3/2021 12:00:00 AM","24","0.3166667","0.04255716",
"CRMS0038","S","10/10/2008 12:00:00 AM","4","0.1466667","0.02333333",
"CRMS0038","S","10/10/2008 12:00:00 AM","8","0.1766667","0.04055175",
"CRMS0038","S","10/10/2008 12:00:00 AM","12","0.1966667","0.04630815",
"CRMS0038","S","10/10/2008 12:00:00 AM","16","0.2333333","0.04977728",
"CRMS0038","S","10/10/2008 12:00:00 AM","20","0.2266667","0.02728451",
"CRMS0038","S","10/10/2008 12:00:00 AM","24","0.2133333","0.024037",
"CRMS0038","S","5/15/2014 12:00:00 AM","4","0.25","0.03511884",
"CRMS0038","S","5/15/2014 12:00:00 AM","8","0.33","0.06027713",
"CRMS0038","S","5/15/2014 12:00:00 AM","12","0.2733333","0.02333333",
"CRMS0038","S","5/15/2014 12:00:00 AM","16","0.29","0.01527525",
"CRMS0038","S","5/15/2014 12:00:00 AM","20","0.27","0.01527525",
"CRMS0038","S","5/15/2014 12:00:00 AM","24","0.26","0.01154701",
"CRMS0038","S","7/7/2021 12:00:00 AM","4","0.12","0.03",
"CRMS0038","S","7/7/2021 12:00:00 AM","8","0.2066667","0.04702245",
"CRMS0038","S","7/7/2021 12:00:00 AM","12","0.2366667","0.03480102",
"CRMS0038","S","7/7/2021 12:00:00 AM","16","0.2433333","0.01855922",
"CRMS0038","S","7/7/2021 12:00:00 AM","20","0.2366667","0.02666667",
"CRMS0038","S","7/7/2021 12:00:00 AM","24","0.23","0.01",
"CRMS0039","S","10/23/2008 12:00:00 AM","4","0.1066667","0.0120185",
"CRMS0039","S","10/23/2008 12:00:00 AM","8","0.11","0.005773501",
"CRMS0039","S","10/23/2008 12:00:00 AM","12","0.1","0.005773501",
"CRMS0039","S","10/23/2008 12:00:00 AM","16","0.13","0.01527525",
"CRMS0039","S","10/23/2008 12:00:00 AM","20","0.1866667","0.05364492",
"CRMS0039","S","10/23/2008 12:00:00 AM","24","0.34","0.140119",
"CRMS0039","S","5/22/2014 12:00:00 AM","16","0.4266666","0.1083718",
"CRMS0039","S","7/29/2021 12:00:00 AM","4","0.07","0.01527525",
"CRMS0039","S","7/29/2021 12:00:00 AM","8","0.1266667","0.02905933",
"CRMS0039","S","7/29/2021 12:00:00 AM","12","0.1833333","0.07333334",
"CRMS0039","S","7/29/2021 12:00:00 AM","16","0.2733333","0.06887993",
"CRMS0039","S","7/29/2021 12:00:00 AM","20","0.3033333","0.08666666",
