"crms_site","map_year","land_acres","water_acres",
"BA39-01","2021","204.10","43.00",
"BA39-02","2021","223.90","23.20",
"BA39-03","2021","177.50","69.60",
"CRMS0002","2005","127.40","119.70",
"CRMS0002","2008","129.80","117.30",
"CRMS0002","2012","124.30","122.80",
"CRMS0002","2016","128.60","118.50",
"CRMS0002","2018","123.00","124.10",
"CRMS0002","2021","112.30","134.80",
"CRMS0003","2005","89.00","158.10",
"CRMS0003","2008","84.30","162.80",
"CRMS0003","2012","81.00","166.10",
"CRMS0003","2016","79.70","167.40",
"CRMS0003","2018","77.40","169.70",
"CRMS0003","2021","74.90","172.20",
"CRMS0006","2005","87.30","159.90",
"CRMS0006","2008","113.30","133.80",
"CRMS0006","2012","116.70","130.40",
"CRMS0006","2016","119.20","127.90",
"CRMS0006","2018","105.90","141.20",
"CRMS0006","2021","105.30","141.80",
"CRMS0008","2005","230.00","17.10",
"CRMS0008","2008","228.90","18.20",
"CRMS0008","2012","229.40","17.70",
"CRMS0008","2016","227.60","19.50",
"CRMS0008","2018","225.90","21.20",
"CRMS0008","2021","224.50","22.60",
"CRMS0030","2005","207.00","40.10",
"CRMS0030","2008","205.30","41.90",
"CRMS0030","2012","207.60","39.50",
"CRMS0030","2016","210.40","36.70",
"CRMS0030","2018","209.40","37.70",
"CRMS0030","2021","188.70","58.40",
"CRMS0033","2005","207.20","39.90",
"CRMS0033","2008","194.20","52.90",
"CRMS0033","2012","205.70","41.40",
"CRMS0033","2016","199.70","47.40",
"CRMS0033","2018","191.20","55.90",
"CRMS0033","2021","158.00","89.10",
"CRMS0034","2005","218.00","29.10",
"CRMS0034","2008","216.30","30.80",
"CRMS0034","2012","218.50","28.60",
"CRMS0034","2016","216.30","30.80",
"CRMS0034","2018","213.40","33.70",
"CRMS0034","2021","199.00","48.10",
"CRMS0035","2005","229.20","17.90",
"CRMS0035","2008","233.30","13.80",
"CRMS0035","2012","230.50","16.70",
"CRMS0035","2016","233.40","13.70",
"CRMS0035","2018","230.80","16.30",
"CRMS0035","2021","228.70","18.40",
"CRMS0038","2005","245.50","1.60",
"CRMS0038","2008","245.30","1.80",
"CRMS0038","2012","245.70","1.40",
"CRMS0038","2016","244.80","2.30",
"CRMS0038","2018","244.90","2.20",
"CRMS0038","2021","243.90","3.20",
"CRMS0039","2005","245.00","2.10",
"CRMS0039","2008","245.40","1.70",
"CRMS0039","2012","245.40","1.70",
"CRMS0039","2016","247.00","0.10",
"CRMS0039","2018","246.00","1.10",
"CRMS0039","2021","245.90","1.20",
"CRMS0046","2005","236.40","10.70",
"CRMS0046","2008","235.60","11.50",
"CRMS0046","2012","237.00","10.10",
"CRMS0046","2016","236.20","10.90",
"CRMS0046","2018","236.20","10.90",
"CRMS0046","2021","235.00","12.10",
"CRMS0047","2005","241.20","5.90",
"CRMS0047","2008","241.30","5.80",
"CRMS0047","2012","242.00","5.10",
"CRMS0047","2016","242.70","4.40",
"CRMS0047","2018","241.30","5.80",
"CRMS0047","2021","238.70","8.40",
"CRMS0056","2005","240.40","6.70",
"CRMS0056","2008","238.50","8.60",
"CRMS0056","2012","236.70","10.40",
"CRMS0056","2016","240.70","6.40",
"CRMS0056","2018","240.70","6.40",
"CRMS0056","2021","222.00","25.10",
"CRMS0058","2005","228.40","18.70",
"CRMS0058","2008","228.20","18.90",
"CRMS0058","2012","221.70","25.40",
"CRMS0058","2016","226.20","20.90",
"CRMS0058","2018","226.00","21.10",
"CRMS0058","2021","221.20","25.90",
"CRMS0059","2005","243.00","4.10",
"CRMS0059","2008","242.20","4.90",
"CRMS0059","2012","242.90","4.20",
"CRMS0059","2016","227.00","20.10",
"CRMS0059","2018","223.80","23.30",
"CRMS0059","2021","234.70","12.40",
"CRMS0061","2005","224.10","23.00",
"CRMS0061","2008","221.70","25.40",
"CRMS0061","2012","219.60","27.50",
"CRMS0061","2016","225.20","21.90",
"CRMS0061","2018","221.80","25.30",
"CRMS0061","2021","219.50","27.60",
"CRMS0063","2005","241.20","5.90",
"CRMS0063","2008","242.30","4.80",
"CRMS0063","2012","241.30","5.80",
"CRMS0063","2016","244.00","3.10",
"CRMS0063","2018","242.20","4.90",
"CRMS0063","2021","241.10","6.00",
"CRMS0065","2005","231.40","15.70",
"CRMS0065","2008","228.40","18.80",
"CRMS0065","2012","246.90","0.20",
"CRMS0065","2016","240.70","6.40",
"CRMS0065","2018","244.20","2.90",
"CRMS0065","2021","239.50","7.60",
"CRMS0086","2005","216.10","31.10",
"CRMS0086","2008","217.70","29.40",
"CRMS0086","2012","215.50","31.60",
"CRMS0086","2016","207.80","39.30",
"CRMS0086","2018","210.00","37.10",
"CRMS0086","2021","204.60","42.50",
"CRMS0089","2005","239.00","8.10",
"CRMS0089","2008","239.60","7.50",
"CRMS0089","2012","237.20","9.90",
"CRMS0089","2016","240.10","7.00",
"CRMS0089","2018","239.00","8.10",
"CRMS0089","2021","237.50","9.60",
"CRMS0090","2005","241.90","5.20",
"CRMS0090","2008","242.30","4.80",
"CRMS0090","2012","242.90","4.20",
"CRMS0090","2016","244.20","2.90",
"CRMS0090","2018","243.20","3.90",
"CRMS0090","2021","242.20","4.90",
"CRMS0097","2005","241.20","5.90",
"CRMS0097","2008","241.00","6.10",
"CRMS0097","2012","241.90","5.20",
"CRMS0097","2016","242.10","5.00",
"CRMS0097","2018","241.50","5.60",
"CRMS0097","2021","241.10","6.00",
"CRMS0103","2005","231.50","15.60",
"CRMS0103","2008","231.10","16.00",
"CRMS0103","2012","232.30","14.80",
"CRMS0103","2016","236.70","10.40",
"CRMS0103","2018","234.90","12.20",
"CRMS0103","2021","233.50","13.60",
"CRMS0108","2005","154.10","93.10",
"CRMS0108","2008","151.70","95.40",
"CRMS0108","2012","146.70","100.40",
"CRMS0108","2016","146.40","100.70",
"CRMS0108","2018","143.60","103.50",
"CRMS0108","2021","139.60","107.50",
"CRMS0114","2005","46.70","200.40",
"CRMS0114","2008","39.60","207.50",
"CRMS0114","2012","37.80","209.30",
"CRMS0114","2016","49.60","197.50",
"CRMS0114","2018","52.70","194.40",
"CRMS0114","2021","44.50","202.60",
"CRMS0115","2005","65.40","181.70",
"CRMS0115","2008","51.90","195.20",
"CRMS0115","2012","42.20","204.90",
"CRMS0115","2016","80.00","167.10",
"CRMS0115","2018","82.90","164.20",
"CRMS0115","2021","70.10","177.00",
"CRMS0117","2005","64.90","182.20",
"CRMS0117","2008","57.80","189.40",
"CRMS0117","2012","44.90","202.20",
"CRMS0117","2016","104.10","143.00",
"CRMS0117","2018","105.30","141.80",
"CRMS0117","2021","101.00","146.10",
"CRMS0118","2005","223.60","23.60",
"CRMS0118","2008","226.80","20.30",
"CRMS0118","2012","225.50","21.60",
"CRMS0118","2016","231.90","15.20",
"CRMS0118","2018","230.40","16.70",
"CRMS0118","2021","212.60","34.50",
"CRMS0119","2005","187.40","59.70",
"CRMS0119","2008","189.30","57.80",
"CRMS0119","2012","186.90","60.20",
"CRMS0119","2016","190.00","57.10",
"CRMS0119","2018","189.40","57.70",
"CRMS0119","2021","186.60","60.50",
"CRMS0120","2005","190.00","57.10",
"CRMS0120","2008","175.70","71.40",
"CRMS0120","2012","172.40","74.70",
"CRMS0120","2016","195.10","52.00",
"CRMS0120","2018","184.50","62.60",
"CRMS0120","2021","176.20","70.90",
"CRMS0121","2005","74.30","172.80",
"CRMS0121","2008","72.20","174.90",
"CRMS0121","2012","52.10","195.00",
"CRMS0121","2016","50.30","196.80",
"CRMS0121","2018","47.70","199.40",
"CRMS0121","2021","43.20","203.90",
"CRMS0125","2005","142.90","104.20",
"CRMS0125","2008","150.40","96.70",
"CRMS0125","2012","154.10","93.00",
"CRMS0125","2016","196.90","50.20",
"CRMS0125","2018","196.30","50.80",
"CRMS0125","2021","160.60","86.50",
"CRMS0128","2005","120.50","126.60",
"CRMS0128","2008","109.60","137.50",
"CRMS0128","2012","104.60","142.50",
"CRMS0128","2016","146.90","100.20",
