"Station_Id","veg_year","Marsh_Class","Basin",
"CRMS0033-V06","2006","Fresh","Pontchartrain",
"CRMS0033-V34","2006","Intermediate","Pontchartrain",
"CRMS0033-V35","2006","Intermediate","Pontchartrain",
"CRMS0033-V37","2006","Intermediate","Pontchartrain",
"CRMS0033-V47","2006","Fresh","Pontchartrain",
"CRMS0033-V48","2006","Intermediate","Pontchartrain",
"CRMS0033-V69","2006","Fresh","Pontchartrain",
"CRMS0033-V82","2006","Fresh","Pontchartrain",
"CRMS0033-V83","2006","Fresh","Pontchartrain",
"CRMS0033-V84","2006","Fresh","Pontchartrain",
"CRMS0034-V07","2006","Fresh","Pontchartrain",
"CRMS0034-V10","2006","Fresh","Pontchartrain",
"CRMS0034-V13","2006","Fresh","Pontchartrain",
"CRMS0034-V22","2006","Fresh","Pontchartrain",
"CRMS0034-V25","2006","Fresh","Pontchartrain",
"CRMS0034-V50","2006","Intermediate","Pontchartrain",
"CRMS0034-V67","2006","Fresh","Pontchartrain",
"CRMS0034-V71","2006","Fresh","Pontchartrain",
"CRMS0034-V79","2006","Intermediate","Pontchartrain",
"CRMS0034-V83","2006","Intermediate","Pontchartrain",
"CRMS0118-V01","2006","Intermediate","Breton Sound",
"CRMS0118-V09","2006","Intermediate","Breton Sound",
"CRMS0118-V18","2006","Intermediate","Breton Sound",
"CRMS0118-V24","2006","Intermediate","Breton Sound",
"CRMS0118-V27","2006","Intermediate","Breton Sound",
"CRMS0118-V50","2006","Intermediate","Breton Sound",
"CRMS0118-V53","2006","Brackish","Breton Sound",
"CRMS0118-V60","2006","Fresh","Breton Sound",
"CRMS0118-V75","2006","Intermediate","Breton Sound",
"CRMS0118-V79","2006","Intermediate","Breton Sound",
"CRMS0119-V53","2006","Saline","Breton Sound",
"CRMS0119-V62","2006","Saline","Breton Sound",
"CRMS0119-V63","2006","Saline","Breton Sound",
"CRMS0119-V68","2006","Saline","Breton Sound",
"CRMS0119-V71","2006","Saline","Breton Sound",
"CRMS0119-V72","2006","Saline","Breton Sound",
"CRMS0119-V73","2006","Saline","Breton Sound",
"CRMS0119-V74","2006","Saline","Breton Sound",
"CRMS0119-V75","2006","Saline","Breton Sound",
"CRMS0119-V84","2006","Saline","Breton Sound",
"CRMS0129-V22","2006","Saline","Breton Sound",
"CRMS0129-V33","2006","Saline","Breton Sound",
"CRMS0129-V36","2006","Saline","Breton Sound",
"CRMS0129-V38","2006","Saline","Breton Sound",
"CRMS0129-V40","2006","Saline","Breton Sound",
"CRMS0129-V47","2006","Saline","Breton Sound",
"CRMS0129-V60","2006","Saline","Breton Sound",
"CRMS0129-V62","2006","Saline","Breton Sound",
"CRMS0129-V67","2006","Brackish","Breton Sound",
"CRMS0129-V72","2006","Brackish","Breton Sound",
"CRMS0135-V01","2006","Saline","Breton Sound",
"CRMS0135-V08","2006","Brackish","Breton Sound",
"CRMS0135-V19","2006","Intermediate","Breton Sound",
"CRMS0135-V20","2006","Brackish","Breton Sound",
