"Site_ID","Longitude","Latitude",
"CRMS0002","-89.79173","30.10025",
"CRMS0003","-89.25275","30.09937",
"CRMS0006","-89.97923","30.25993",
"CRMS0008","-90.68443","30.23072",
"CRMS0030","-90.32942","30.30482",
"CRMS0033","-90.3855","30.27445",
"CRMS0034","-90.3855","30.30348",
"CRMS0035","-89.66476","30.26712",
"CRMS0038","-90.6817","30.21616",
"CRMS0039","-90.68731","30.10738",
"CRMS0046","-90.49934","30.40488",
"CRMS0047","-90.53371","30.13298",
"CRMS0056","-90.44297","30.12919",
"CRMS0059","-90.53906","30.09295",
"CRMS0061","-90.63992","30.22322",
"CRMS0063","-90.64094","30.1321",
"CRMS0065","-90.811","30.12192",
"CRMS0086","-89.63324","30.31791",
"CRMS0097","-90.65826","30.1582",
"CRMS0103","-90.25928","30.3978",
"CRMS0108","-89.41592","29.95506",
"CRMS0114","-89.91673","29.75912",
"CRMS0115","-89.91673","29.78089",
"CRMS0117","-89.91673","29.80992",
"CRMS0118","-89.54172","29.37444",
"CRMS0119","-89.63548","29.47605",
"CRMS0120","-89.85423","29.84622",
"CRMS0121","-89.82298","29.69379",
"CRMS0125","-89.97923","29.76637",
"CRMS0128","-89.94798","29.8317",
"CRMS0129","-89.60422","29.46879",
"CRMS0131","-89.88552","29.69252",
"CRMS0132","-89.88548","29.66476",
"CRMS0135","-89.76048","29.68654",
"CRMS0136","-89.79173","29.62122",
"CRMS0139","-89.47922","29.3817",
"CRMS0146","-89.72923","29.73008",
"CRMS0147","-89.60422","29.66476",
"CRMS0148","-89.69798","29.51235",
"CRMS0153","-89.13546","29.11315",
"CRMS0154","-89.19796","29.11315",
"CRMS0156","-89.16671","29.16394",
"CRMS0157","-89.22921","29.12766",
"CRMS0159","-89.19796","29.04056",
"CRMS0161","-89.16671","29.29459",
"CRMS0162","-89.13546","29.16395",
"CRMS0163","-89.41672","29.21476",
"CRMS0164","-90.16994","29.19306",
"CRMS0171","-89.79605","29.32377",
"CRMS0172","-89.73433","29.31653",
"CRMS0173","-89.72993","29.4543",
"CRMS0174","-89.76302","29.3963",
"CRMS0175","-90.13792","29.2874",
"CRMS0176","-89.79333","29.41078",
"CRMS0178","-90.04698","29.28748",
"CRMS0179","-89.69845","29.39623",
"CRMS0181","-89.70033","29.33823",
"CRMS0185","-90.07269","29.79535",
"CRMS0190","-90.26049","29.52686",
"CRMS0194","-90.94014","29.99133",
"CRMS0197","-90.94179","29.91151",
"CRMS0200","-90.97757","29.96965",
"CRMS0206","-90.66574","29.83895",
"CRMS0209","-89.79173","29.49057",
"CRMS0217","-90.87864","29.91875",
"CRMS0220","-90.07299","29.56315",
"CRMS0224","-89.91673","29.49782",
"CRMS0225","-90.01048","29.56315",
"CRMS0226","-89.88548","29.51234",
"CRMS0232","-90.01048","29.49783",
"CRMS0234","-90.10404","29.79537",
"CRMS0237","-89.94798","29.47605",
"CRMS0248","-90.07299","29.59944",
"CRMS0251","-90.01048","29.5196",
"CRMS0253","-90.07299","29.55589",
"CRMS0258","-89.82298","29.52686",
"CRMS0260","-89.85423","29.53411",
"CRMS0261","-90.10424","29.59944",
"CRMS0263","-89.88548","29.55589",
"CRMS0272","-89.69798","29.41799",
"CRMS0276","-89.94798","29.62121",
"CRMS0282","-89.76048","29.49783",
"CRMS0287","-90.01048","29.68654",
"CRMS0292","-90.22924","29.14218",
"CRMS0293","-91.19802","29.24379",
"CRMS0302","-90.91699","29.14783",
"CRMS0303","-91.07301","29.24379",
"CRMS0305","-91.19802","29.38895",
"CRMS0307","-90.82301","29.25105",
"CRMS0309","-91.19802","29.25105",
"CRMS0310","-90.29328","29.29463",
"CRMS0311","-90.79176","29.21476",
"CRMS0312","-90.3855","29.50508",
"CRMS0315","-90.573","29.40347",
"CRMS0318","-90.32546","29.29465",
"CRMS0319","-90.32471","29.32367",
"CRMS0322","-91.10454","29.24379",
"CRMS0324","-91.23169","29.99155",
"CRMS0326","-91.07301","29.27282",
"CRMS0332","-91.04176","29.30185",
"CRMS0335","-90.38772","29.27286",
"CRMS0336","-90.38642","29.32365",
"CRMS0337","-90.35593","29.30915",
"CRMS0338","-90.41821","29.33091",
"CRMS0341","-90.51227","29.30914",
"CRMS0345","-90.76129","29.17122",
"CRMS0347","-90.69962","29.16397",
"CRMS0354","-91.01051","29.33088",
"CRMS0355","-90.54149","29.29663",
"CRMS0369","-90.69801","29.2946",
"CRMS0374","-90.793","29.1567",
"CRMS0376","-90.85667","29.12767",
"CRMS0377","-91.0108","29.22927",
"CRMS0383","-90.94888","29.2075",
"CRMS0385","-90.60425","29.41073",
"CRMS0386","-90.35425","29.4325",
"CRMS0387","-90.323","29.41073",
"CRMS0390","-90.66676","29.46879",
"CRMS0392","-90.66676","29.45428",
"CRMS0394","-90.85426","29.35992",
"CRMS0395","-90.88551","29.35992",
"CRMS0396","-90.88551","29.3454",
"CRMS0397","-90.26049","29.35266",
"CRMS0398","-90.91676","29.38895",
"CRMS0399","-91.10426","29.30185",
"CRMS0400","-90.5105","29.49057",
"CRMS0403","-91.1331","29.76638",
"CRMS0416","-90.47925","29.47605",
"CRMS0421","-90.82439","29.17122",
"CRMS0434","-90.72926","29.32363",
"CRMS0461","-91.32302","29.58492",
"CRMS0463","-91.32302","29.49057",
"CRMS0464","-91.38552","29.5196",
"CRMS0465","-91.38552","29.54137",
"CRMS0479","-91.44803","29.52686",
"CRMS0482","-91.35427","29.58492",
"CRMS0488","-91.54178","29.70831",
"CRMS0489","-91.54178","29.59944",
"CRMS0490","-91.51053","29.67928",
"CRMS0493","-91.76053","29.75186",
"CRMS0494","-91.79178","29.7446",
"CRMS0496","-91.544","29.6319",
"CRMS0498","-91.85429","29.49783",
"CRMS0499","-91.85429","29.57041",
"CRMS0501","-92.26054","29.63573",
"CRMS0504","-91.88554","29.53412",
"CRMS0507","-92.22929","29.58492",
"CRMS0508","-92.22929","29.64299",
"CRMS0511","-91.97929","29.88976",
"CRMS0513","-91.60407","29.79541",
"CRMS0514","-91.82304","29.85347",
"CRMS0517","-91.57303","29.64299",
"CRMS0520","-91.88554","29.58492",
"CRMS0522","-91.82304","29.49782",
"CRMS0523","-91.82304","29.57767",
"CRMS0524","-91.82304","29.54863",
"CRMS0527","-91.85429","29.70831",
"CRMS0528","-91.91679","29.82444",
"CRMS0529","-91.91679","29.59944",
